JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454804.64297,13.129,0.005,,V,MQE,,116,,081208,GRAS-G4,0,1.210,Z,11.619,,,IY CEP,,STD,,,,
2454821.64509,13.140,0.008,,V,MQE,,104,,081223,GRAS-G4,0,1.371,Z,10.399,,,IY CEP,,STD,,,,
2454829.66042,12.717,0.006,,V,MQE,,113_1,,090106,GRAS-G4,0,1.551,Z,11.275,,,IY CEP,,STD,,,,
2454848.61020,13.087,0.018,,V,MQE,,ENSEMBLE,107,090122,GRAS-G4,0,1.561,Z,,10.848,,IY CEP,,STD,,,,
2454857.59334,12.634,0.012,,V,MQE,,ENSEMBLE,122,090205,GRAS-G4,0,1.608,Z,,12.187,,IY CEP,,STD,,,,
2454914.99421,12.616,0.010,,V,MQE,,ENSEMBLE,122,090325,GRAS-G4,0,1.929,Z,,12.203,,IY CEP,,STD,,,,
2454934.93448,12.935,0.048,,V,MQE,,ENSEMBLE,107,090415,GRAS-G4,0,1.979,Z,,10.873,,IY CEP,,STD,,,,
2454942.94418,12.820,0.004,,V,MQE,,ENSEMBLE,139,100224,,0,1.778,Z,,14.007,,IY CEP,,STD,,,,
2454950.93910,13.208,0.006,,V,MQE,,ENSEMBLE,139,100224,,0,1.623,Z,,14.019,,IY CEP,,STD,,,,
2454958.92623,12.632,0.005,,V,MQE,,ENSEMBLE,139,100224,,0,1.553,Z,,13.999,,IY CEP,,STD,,,,
2454990.81113,13.260,0.011,,V,MQE,,ENSEMBLE,139,100224,,0,1.776,Z,,14.028,,IY CEP,,STD,,,,
2454995.88375,13.120,0.033,,V,MQE,,ENSEMBLE,139,100611,,0,1.302,Z,,14.098,,IY CEP,,STD,,,,
2455036.91774,13.028,0.005,,V,MQE,,ENSEMBLE,139,100224,,0,1.037,Z,,13.941,,IY CEP,,STD,,,,
2455060.67801,12.593,0.004,,V,MQE,,ENSEMBLE,139,100224,,0,1.288,Z,,13.983,,IY CEP,,STD,,,,
2455073.62646,12.927,0.007,,V,MQE,,ENSEMBLE,139,100224,,0,1.352,Z,,14.039,,IY CEP,,STD,,,,
2455153.70506,13.041,0.006,,V,MQE,,ENSEMBLE,139,100224,,0,1.323,Z,,14.006,,IY CEP,,STD,,,,
2455161.66182,12.871,0.005,,V,MQE,,ENSEMBLE,139,100224,,0,1.246,Z,,14.001,,IY CEP,,STD,,,,
2455203.62024,12.928,0.005,,V,MQE,,ENSEMBLE,139,100224,,0,1.603,Z,,14.042,,IY CEP,,STD,,,,
2455297.93748,12.106,0.005,,V,MQE,,ENSEMBLE,139,100611,,0,1.851,Z,,13.894,,IY CEP,,STD,,,,
2455323.86682,12.601,0.008,,V,MQE,,ENSEMBLE,139,100611,,0,1.848,Z,,13.894,,IY CEP,,STD,,,,
2455332.88380,12.691,0.004,,V,MQE,,ENSEMBLE,139,100611,,0,1.522,Z,,13.982,,IY CEP,,STD,,,,
2455339.86619,12.934,0.004,,V,MQE,,ENSEMBLE,139,100611,,0,1.513,Z,,13.979,,IY CEP,,STD,,,,
2455358.84745,13.202,0.005,,V,MQE,,ENSEMBLE,139,100611,,0,1.343,Z,,13.948,,IY CEP,,STD,,,,
2455365.85399,12.572,0.012,,V,MQE,,ENSEMBLE,113,100718,,0,1.249,Z,,11.254,,IY CEP,AAVSO,STD,,,,
2456464.91317,12.884,0.132,,V,SRIC,,ENSEMBLE,110,12067APN,,1,1.057,Z,,11.099,,IY CEP,AAVSO,STD,,,,
2456464.91384,11.076,0.114,,I,SRIC,,ENSEMBLE,110,12067APN,,1,1.056,Z,,10.459,,IY CEP,AAVSO,STD,,,,
2456464.91530,14.276,0.081,,B,SRIC,,ENSEMBLE,110,12067APN,,1,1.055,Z,,11.578,,IY CEP,AAVSO,STD,,,,
2456536.74174,14.186,0.047,,B,SRIC,,ENSEMBLE,110,12067APN,,1,1.032,Z,,11.569,,IY CEP,AAVSO,STD,,,,
2456536.74301,12.882,0.059,,V,SRIC,,ENSEMBLE,110,12067APN,,1,1.031,Z,,11.054,,IY CEP,AAVSO,STD,,,,
2456536.74367,11.895,0.023,,R,SRIC,,ENSEMBLE,110,12067APN,,1,1.030,Z,,10.701,,IY CEP,AAVSO,STD,,,,
2456536.74406,11.139,0.064,,I,SRIC,,ENSEMBLE,110,12067APN,,1,1.030,Z,,10.459,,IY CEP,AAVSO,STD,,,,
2456904.83221,12.501,0.027,,V,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.323,Z,,10.399,,IY CEP,AAVSO,STD,0,,,
2456904.83288,11.756,0.017,,R,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.321,Z,,10.228,,IY CEP,AAVSO,STD,0,,,
2456904.83348,10.931,0.020,,I,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.320,Z,,9.962,,IY CEP,AAVSO,STD,0,,,
2456904.83547,12.526,0.031,,V,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.315,Z,,10.332,,IY CEP,AAVSO,STD,0,,,
2456904.83615,11.716,0.016,,R,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.314,Z,,10.212,,IY CEP,AAVSO,STD,0,,,
2456904.83675,10.988,0.024,,I,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.312,Z,,10.073,,IY CEP,AAVSO,STD,0,,,
2456904.83941,11.754,0.015,,R,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.307,Z,,10.198,,IY CEP,AAVSO,STD,0,,,
2456904.84001,11.009,0.025,,I,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.305,Z,,10.037,,IY CEP,AAVSO,STD,0,,,
2456905.80934,12.593,0.030,,V,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.381,Z,,10.379,,IY CEP,AAVSO,STD,0,,,
2456905.81000,11.813,0.018,,R,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.379,Z,,10.245,,IY CEP,AAVSO,STD,0,,,
2456905.81060,11.022,0.021,,I,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.377,Z,,10.023,,IY CEP,AAVSO,STD,0,,,
2456905.81260,12.666,0.030,,V,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.370,Z,,10.413,,IY CEP,AAVSO,STD,0,,,
2456905.81325,11.786,0.016,,R,SBL,,ENSEMBLE,000-BCQ-031,141122,,0,1.369,Z,,10.155,,IY CEP,AAVSO,STD,0,,,
